PhD_ID,Rank,Year,AERPub
12152,21,1998,0.08651176200211977
513,11,1991,0.4952511186365913
1902,20,1989,0.16109495269351287
6760,31,1991,3.5208035630252086
1303,15,1991,9.049059902879235e-06
688,3,1986,0.010265930693367916
10229,15,1986,0.010582032265939612
12541,25,1991,0.44163741784156274
12460,13,1997,0.07673760029083952
2533,7,1986,0.000351657409007409
8638,25,1991,0.7923166367733965
2470,19,2000,10.398333889685361
3629,31,1990,4.398378566499243
11205,7,1990,0.00027986914481994626
2877,30,1992,0.004023980800530157
4346,21,1990,4.541841204368556
12516,8,1991,0.06199947402435009
4140,31,1992,0.8168008188569325
9317,31,1998,0.7689510657556551
774,5,1987,0.21811052035734524
654,19,1999,0.00243246942915015
8824,21,1990,0.012977476266499997
9670,19,1989,1.0388584310737436
8528,8,1988,0.1471472198709144
8876,6,1993,0.0056729101823418965
3888,31,1999,1.328940169579623
5171,31,1997,0.1757020783696423
7220,30,1995,1.389441621409204e-07
3404,25,1986,1.417139900687203
1821,31,1987,0.5451452396307022
5349,15,1990,3.6265181561733984e-11
2270,3,1989,0.6433265306116792
5240,7,1986,7.420989801238848e-05
6516,22,1997,0.22513919559033085
4102,31,1996,0.0246448754274685
7374,14,1999,0.0004171638121006936
1958,21,1998,2.7511812106882787e-05
11054,31,1996,7.048970932208958
9071,13,1990,0.6417139922164002
3574,23,1993,0.03193750416457411
7029,13,1991,0.0064104561448183155
10119,16,1987,0.0031265908793456187
4463,30,1992,0.0001281308452524113
12063,31,1994,0.0011001372717623205
9866,20,1990,0.19683622922018273
1776,12,1997,1.458576939517897
4353,31,1994,0.05212576333916635
4898,31,1990,1.8887224860855808e-08
6981,31,1992,5.563676996536474e-08
7014,3,1995,8.915282027588533e-07
3671,27,1997,0.45209543459477913
1221,21,1993,9.830634633394448e-06
5523,22,2000,0.08093763966428617
11402,31,1996,0.23473179438362884
9573,31,1991,0.005744907621692852
8635,7,1996,0.27417975924124355
1427,7,1993,0.21734312024396396
5957,31,1994,0.0446523784917833
2051,30,1995,0.00017525919722408186
5973,31,1990,0.06594765262069296
7629,28,1986,0.16201498737802245
24,31,2000,0.09413759152600806
196,26,1986,1.6686062332789549
9897,12,1989,0.08655843228580178
1953,31,1986,0.03838726782879227
9833,24,1994,1.21372108812128
6904,9,1987,0.11977555759311159
8898,24,1994,0.0004746175683585212
1016,31,1987,1.285646103632504
10181,3,1988,0.07444479895007246
6806,3,1988,0.29614298093687724
1456,19,1995,0.02921700110993011
6007,15,1995,0.004956964815063372
