PhD_ID,Rank,Year,AERPub,AERPub_school_help,AERPub_choose_best
2299,1,1997,0.8614830216913191,2.361483021691319,2.0334139941576836
9037,1,1986,0.07780235349869279,1.5778023534986927,2.03281610860825
9210,1,1989,1.3207626567226374,2.8207626567226374,2.0167695987942933
7350,1,1991,0.12115882103163678,1.6211588210316368,1.9152689083526657
4101,1,1991,1.304294152183953,2.804294152183953,1.9002244190553919
9053,1,1987,1.124232934019269,2.624232934019269,1.8932888650385618
8153,1,1995,0.7080545372816968,2.2080545372816966,1.8586250480942164
7262,1,1988,0.49426134051413345,1.9942613405141334,1.8472730233731323
3897,1,1998,0.19431240493912882,1.694312404939129,1.7640755357298163
9622,1,2000,0.18562962885654105,1.685629628856541,1.760165589999608
4483,1,1995,1.3425948660963662,2.8425948660963662,1.7308395521789122
1089,1,1997,0.41897810309520955,1.9189781030952096,1.697247331339909
9117,1,1986,0.6995768213933813,2.1995768213933813,1.6920601905058468
10157,1,1993,0.2337284909649343,1.7337284909649342,1.6893113035872216
8754,1,1998,0.8334328377522374,2.3334328377522375,1.6883821479141798
5449,1,2000,1.1588189784285525,2.6588189784285525,1.6874675519902989
11128,1,1988,0.21794306584528117,1.7179430658452812,1.6809259681803728
5185,1,1997,0.5770260204989998,2.077026020499,1.6776255073053716
6902,1,1995,0.05325599957524233,1.5532559995752424,1.6687602133882093
4476,1,1986,0.6048336691825554,2.1048336691825553,1.6659564955420039
4,1,1988,0.4170686930155706,1.9170686930155707,1.6631879543149204
3343,1,1998,0.6157279150577162,2.1157279150577164,1.6549940084311379
9519,1,1994,0.38026555230414444,1.8802655523041445,1.650045623202113
10995,1,2000,0.6690080666251453,2.1690080666251452,1.647926159207083
2081,1,1997,0.3133980385908618,1.813398038590862,1.6417965396797303
11009,1,1989,0.09573775506419338,1.5957377550641934,1.6324854933182327
9574,1,1992,1.1061842293094815,2.6061842293094815,1.6073903200727264
5324,1,1990,0.220690461063357,1.720690461063357,1.6015376135348895
8040,1,1994,0.3576382121538351,1.857638212153835,1.5991967542513326
6687,1,1986,0.44790219356461214,1.9479021935646121,1.5950563892695238
5054,1,1988,0.4338971151203977,1.9338971151203976,1.5853067485386438
7904,1,1997,0.762724272102143,2.262724272102143,1.5755287720453137
267,1,1996,0.10520756955726963,1.6052075695572696,1.5699356064326904
3535,1,1988,0.06666641120311079,1.5666664112031108,1.56658874278503
12119,1,1986,0.09189137661508948,1.5918913766150895,1.5621189985019281
11547,1,1999,0.33136921636544453,1.8313692163654445,1.558084058550326
8323,1,1988,0.5514256731845426,2.051425673184543,1.5578434960867134
565,1,1988,0.6306839124596836,2.1306839124596837,1.5471113968911383
10471,1,2000,0.44366234396059223,1.9436623439605922,1.5405980488880737
2121,1,1997,0.10050850515231385,1.6005085051523138,1.5335808347731423
8359,1,1992,0.08799787143417223,1.5879978714341723,1.5334263205861867
8939,1,1995,0.7144212368193255,2.2144212368193257,1.5204445761622716
10607,1,1986,0.9908622603881859,2.490862260388186,1.5178032943390347
7716,1,1998,0.13529970048700257,1.6352997004870025,1.5166027042573595
8565,1,1997,0.4840253524539095,1.9840253524539095,1.5103508496324838
6494,1,1995,0.45915253546884355,1.9591525354688435,1.509154488012999
11815,1,1998,0.44314068831257625,1.9431406883125764,1.5018508486720772
7939,1,1998,0.23881085887560782,1.738810858875608,1.501654758988587
9378,1,1992,0.42069467465789484,1.9206946746578948,1.5004508279974431
7401,1,1995,1.0053572969641333,2.5053572969641333,1.499557053055695
823,1,1987,0.6113281516536009,2.111328151653601,1.4970433581487845
7530,1,1987,0.19000289971065637,1.6900028997106564,1.489632395889636
9161,1,1995,0.2296330456031787,1.7296330456031788,1.4881716184196339
12353,1,1986,0.3366552516767992,1.8366552516767993,1.4879957729391633
